country,postcode,T12,T09,T10
CZ,19829,x,,
CZ,19898,x,,
CZ,19900,x,,
CZ,19901,x,,
CZ,19902,x,,
CZ,19903,x,,
CZ,19904,x,,
CZ,19905,x,,
CZ,19906,x,,
CZ,22000,x,,
CZ,22200,x,,
CZ,22310,x,,
CZ,22500,x,,
CZ,22507,x,,
CZ,25001,x,,
CZ,25002,x,,
CZ,25061,x,,
CZ,25063,x,,
CZ,25064,x,,
CZ,25065,x,,
CZ,25066,x,,
CZ,25067,x,,
CZ,25068,x,,
CZ,25069,x,,
CZ,25070,x,,
CZ,25071,x,,
CZ,25072,x,,
CZ,25073,x,,
CZ,25075,x,,
CZ,25081,x,,
CZ,25082,x,,
CZ,25083,x,,
CZ,25084,x,,
CZ,25087,x,,
CZ,25088,x,,
CZ,25089,x,,
CZ,25090,x,,
CZ,25091,x,,
CZ,25092,x,,
CZ,25170,x,,
CZ,25202,x,,
CZ,25203,x,,
CZ,25204,x,,
CZ,25205,x,,
CZ,25206,x,,
CZ,25207,x,,
CZ,25208,x,,
CZ,25209,x,,
CZ,25226,x,,
CZ,25228,x,,
CZ,25229,x,,
CZ,25231,x,,
CZ,25241,x,,
CZ,25242,x,,
CZ,25243,x,,
CZ,25244,x,,
CZ,25247,x,,
CZ,25250,x,,
CZ,25281,x,,
CZ,25746,x,,
CZ,26601,x,,
CZ,26604,x,,
CZ,26656,x,,
CZ,26701,x,,
CZ,26710,x,,
CZ,26711,x,,
CZ,27711,x,,
CZ,27713,x,,
CZ,27714,x,,
CZ,27715,x,,
CZ,27716,x,,
CZ,28000,x,,
CZ,28001,x,,
CZ,28002,x,,
CZ,28003,x,,
CZ,28401,x,,
CZ,28601,x,,
CZ,28800,x,,
CZ,28801,x,,
CZ,28802,x,,
CZ,29001,x,,
CZ,29301,x,,
CZ,29302,x,,
CZ,29303,x,,
CZ,29305,x,,
CZ,29306,x,,
CZ,29307,x,,
CZ,29360,x,,
CZ,29401,x,,
CZ,29501,x,,
CZ,30040,x,,
CZ,30100,x,,
CZ,30101,x,,
CZ,30111,x,,
CZ,30117,x,,
CZ,30134,x,,
CZ,30165,x,,
CZ,30200,x,,
CZ,30400,x,,
CZ,30460,x,,
CZ,30500,x,,
CZ,30543,x,,
CZ,30600,x,,
CZ,30700,x,,
CZ,30800,x,,
CZ,30900,x,,
CZ,31000,x,,
CZ,31100,x,,
CZ,31200,x,,
CZ,31205,x,,
CZ,31214,x,,
CZ,31216,x,,
CZ,31300,x,,
CZ,31400,x,,
CZ,31500,x,,
CZ,31502,x,,
CZ,31600,x,,
CZ,31700,x,,
CZ,31705,x,,
CZ,31756,x,,
CZ,31800,x,,
CZ,31804,x,,
CZ,31900,x,,
CZ,32000,x,,
CZ,32016,x,,
CZ,32028,x,,
CZ,32064,x,x,x
CZ,32084,x,,
CZ,32100,x,,
CZ,32200,x,,
CZ,32300,x,,
CZ,32323,x,,
CZ,32327,x,,
CZ,32400,x,,
CZ,32500,x,,
CZ,32600,x,,
CZ,32700,x,,
CZ,32800,x,,
CZ,33000,x,,
CZ,33001,x,,
CZ,33002,x,,
CZ,33003,x,,
CZ,33007,x,,
CZ,33008,x,,
CZ,33011,x,,
CZ,33012,x,,
CZ,33013,x,,
CZ,33014,x,,
CZ,33016,x,,
CZ,33017,x,,
CZ,33021,x,,
CZ,33022,x,,
CZ,33023,x,,
CZ,33025,x,,
CZ,33026,x,,
CZ,33027,x,,
CZ,33201,x,,
CZ,33202,x,,
CZ,33203,x,,
CZ,33204,x,,
CZ,33205,x,,
CZ,33207,x,,
CZ,33209,x,,
CZ,33441,x,,
CZ,33442,x,,
CZ,33561,x,,
CZ,33701,x,,
CZ,33703,x,,
CZ,33821,x,,
CZ,33841,x,,
CZ,33842,x,,
CZ,33843,x,,
CZ,33901,x,,
CZ,33902,x,,
CZ,33903,x,,
CZ,33904,x,,
CZ,33938,x,,
CZ,35601,x,,
CZ,35603,x,,
CZ,35604,x,,
CZ,35605,x,,
CZ,35703,x,,
CZ,35731,x,,
CZ,35733,x,,
CZ,35734,x,,
CZ,35735,x,,
CZ,35736,x,,
CZ,36000,x,,
CZ,36001,x,,
CZ,36002,x,,
CZ,36004,x,,
CZ,36005,x,,
CZ,36006,x,,
CZ,36007,x,,
CZ,36009,x,,
CZ,36010,x,,
CZ,36017,x,,
CZ,36018,x,,
CZ,36020,x,,
CZ,36066,x,,
CZ,36211,x,,
CZ,36213,x,,
CZ,36214,x,,
CZ,36215,x,,
CZ,36225,x,,
CZ,36263,x,,
CZ,36272,x,,
CZ,36301,x,,
CZ,37001,x,,
CZ,37002,x,,
CZ,37003,x,,
CZ,37004,x,,
CZ,37005,x,,
CZ,37006,x,,
CZ,37007,x,,
CZ,37008,x,,
CZ,37009,x,,
CZ,37010,x,,
CZ,37011,x,,
CZ,37012,x,,
CZ,37013,x,,
CZ,37018,x,,
CZ,37019,x,,
CZ,37020,x,,
CZ,37047,x,,
CZ,37122,x,,
CZ,37130,x,,
CZ,37150,x,,
CZ,37152,x,,
CZ,37155,x,,
CZ,37201,x,,
CZ,37211,x,,
CZ,37215,x,,
CZ,37216,x,,
CZ,37311,x,,
CZ,37312,x,,
CZ,37316,x,,
CZ,37341,x,,
CZ,37343,x,,
CZ,37344,x,,
CZ,37363,x,,
CZ,37367,x,,
CZ,37371,x,,
CZ,37372,x,,
CZ,37373,x,,
CZ,37381,x,,
CZ,37382,x,,
CZ,37384,x,,
CZ,37738,x,,
CZ,39001,x,,
CZ,39002,x,,
CZ,39003,x,,
CZ,39005,x,,
CZ,39010,x,,
CZ,39011,x,,
CZ,39034,x,,
CZ,39062,x,,
CZ,39101,x,,
CZ,39102,x,,
CZ,39111,x,,
CZ,39301,x,,
CZ,39385,x,,
CZ,39388,x,,
CZ,39601,x,,
CZ,39901,x,,
CZ,39903,x,,
CZ,40001,x,,
CZ,40002,x,,
CZ,40003,x,,
CZ,40004,x,,
CZ,40006,x,,
CZ,40007,x,,
CZ,40008,x,,
CZ,40010,x,,
CZ,40011,x,,
CZ,40019,x,,
CZ,40020,x,,
CZ,40032,x,,
CZ,40090,x,,
CZ,40113,x,,
CZ,40300,x,,
CZ,40301,x,,
CZ,40302,x,,
CZ,40313,x,,
CZ,40317,x,,
CZ,40321,x,,
CZ,40322,x,,
CZ,40331,x,,
CZ,40339,x,,
CZ,40340,x,,
CZ,41002,x,,
CZ,41101,x,,
CZ,41103,x,,
CZ,41501,x,,
CZ,41502,x,,
CZ,41503,x,,
CZ,41504,x,,
CZ,41508,x,,
CZ,41510,x,,
CZ,41701,x,,
CZ,41704,x,,
CZ,41705,x,,
CZ,41712,x,,
CZ,41713,x,,
CZ,41722,x,,
CZ,41723,x,,
CZ,41724,x,,
CZ,41725,x,,
CZ,41731,x,,
CZ,41741,x,,
CZ,41742,x,,
CZ,41743,x,,
CZ,41752,x,,
CZ,41753,x,,
CZ,41754,x,,
CZ,41761,x,,
CZ,41762,x,,
CZ,41763,x,,
CZ,41765,x,,
CZ,41771,x,,
CZ,41772,x,,
CZ,41801,x,,
CZ,41803,x,,
CZ,41901,x,,
CZ,43511,x,,
CZ,43513,x,,
CZ,43522,x,,
CZ,43533,x,,
CZ,46001,x,,
CZ,46002,x,,
CZ,46003,x,,
CZ,46004,x,,
CZ,46005,x,,
CZ,46006,x,,
CZ,46007,x,,
CZ,46008,x,,
CZ,46009,x,,
CZ,46010,x,,
CZ,46011,x,,
CZ,46012,x,,
CZ,46013,x,,
CZ,46014,x,,
CZ,46015,x,,
CZ,46020,x,,
CZ,46059,x,,
CZ,46063,x,,
CZ,46078,x,,
CZ,46117,x,,
CZ,46201,x,,
CZ,46202,x,,
CZ,46203,x,,
CZ,46204,x,,
CZ,46205,x,,
CZ,46206,x,,
CZ,46207,x,,
CZ,46208,x,,
CZ,46209,x,,
CZ,46210,x,,
CZ,46211,x,,
CZ,46212,x,,
CZ,46213,x,,
CZ,46215,x,,
CZ,46300,x,,
CZ,46301,x,,
CZ,46302,x,,
CZ,46303,x,,
CZ,46311,x,,
CZ,46312,x,,
