country,postcode,T12,T09,T10
SK,94080,x,,
SK,94081,x,,
SK,94085,x,,
SK,94091,x,,
SK,94092,x,,
SK,94093,x,,
SK,94094,x,,
SK,94095,x,,
SK,94096,x,,
SK,94097,x,,
SK,94098,x,,
SK,94099,x,,
SK,94501,x,,
SK,94504,x,,
SK,94505,x,,
SK,94612,x,,
SK,94631,x,,
SK,94632,x,,
SK,94633,x,,
SK,94634,x,,
SK,94657,x,,
SK,94661,x,,
SK,94701,x,,
SK,94703,x,,
SK,94901,x,,
SK,94902,x,,
SK,94903,x,,
SK,94904,x,,
SK,94905,x,,
SK,94906,x,,
SK,94907,x,,
SK,94908,x,,
SK,94909,x,,
SK,94910,x,,
SK,94911,x,,
SK,94973,x,,
SK,95101,x,,
SK,95102,x,,
SK,95104,x,,
SK,95105,x,,
SK,95106,x,,
SK,95107,x,,
SK,95108,x,,
SK,95112,x,,
SK,95116,x,,
SK,95117,x,,
SK,95121,x,,
SK,95122,x,,
SK,95124,x,,
SK,95131,x,,
SK,95132,x,,
SK,95133,x,,
SK,95134,x,,
SK,95135,x,,
SK,95137,x,,
SK,95141,x,,
SK,95142,x,,
SK,95148,x,,
SK,95151,x,,
SK,95152,x,,
SK,95153,x,,
SK,95154,x,,
SK,95161,x,,
SK,95162,x,,
SK,95172,x,,
SK,95173,x,,
SK,95174,x,,
SK,95175,x,,
SK,95176,x,,
SK,95177,x,,
SK,95178,x,,
SK,95181,x,,
SK,95182,x,,
SK,95187,x,,
SK,95188,x,,
SK,95191,x,,
SK,95197,x,,
SK,95201,x,,
SK,95301,x,,
SK,95302,x,,
SK,95303,x,,
SK,95304,x,,
SK,95305,x,,
SK,95501,x,,
SK,95652,x,,
SK,95653,x,,
SK,95654,x,,
SK,95655,x,,
SK,95701,x,,
SK,95703,x,,
SK,95704,x,,
SK,95853,x,,
SK,95854,x,,
SK,96001,x,,
SK,96002,x,,
SK,96003,x,,
SK,96004,x,,
SK,96005,x,,
SK,96006,x,,
SK,96007,x,,
SK,96053,x,,
SK,96201,x,,
SK,96202,x,,
SK,96211,x,,
SK,96212,x,,
SK,96213,x,,
SK,96221,x,,
SK,96223,x,,
SK,96224,x,,
SK,96231,x,,
SK,96232,x,,
SK,96233,x,,
SK,96237,x,,
SK,96261,x,,
SK,96264,x,,
SK,96501,x,,
SK,96548,x,,
SK,96563,x,,
SK,96611,x,,
SK,96612,x,,
SK,97101,x,,
SK,97201,x,,
SK,97202,x,,
SK,97205,x,,
SK,97231,x,,
SK,97232,x,,
SK,97251,x,,
SK,97271,x,,
SK,97272,x,,
SK,97400,x,,
SK,97401,x,,
SK,97404,x,,
SK,97405,x,,
SK,97406,x,,
SK,97408,x,,
SK,97409,x,,
SK,97411,x,,
SK,97575,x,,
SK,97631,x,,
SK,97632,x,,
SK,97901,x,,
SK,98999,x,,
